case_id,layer,load,status,metrics,evidence,source
BASE-1,ios-unit,swift test --package-path ios/Packages/RinaCore,PASS,tests_run=163; tests_failed=0; exit_code=0,docs/stress-20260912-211559/logs/baseline/01_swift_rinacore.log,logs/baseline/summary.csv
BASE-2,esp32-host-cpp,c++ stream_transport_test.cpp (compile+run),PASS,tests_run=1; tests_failed=0; exit_code=0,docs/stress-20260912-211559/logs/baseline/02_stream_transport_test.log,logs/baseline/summary.csv
BASE-3,esp32-host-cpp,c++ ble_frame_sender_test.cpp (compile+run),PASS,tests_run=13; tests_failed=0; exit_code=0,docs/stress-20260912-211559/logs/baseline/03_ble_frame_sender_test.log,logs/baseline/summary.csv
4a,esp32-host-py,python3 blob_ownership_test.py,PASS,tests_run=1; tests_failed=0; exit_code=0,docs/stress-20260912-211559/logs/baseline/04_py_blob_ownership_test.log,logs/baseline/summary.csv
4b,esp32-host-py,python3 playback_ownership_test.py,PASS,tests_run=2; tests_failed=0; exit_code=0,docs/stress-20260912-211559/logs/baseline/04_py_playback_ownership_test.log,logs/baseline/summary.csv
4c,esp32-host-py,python3 presentation_telemetry_test.py,PASS,tests_run=1; tests_failed=0; exit_code=0,docs/stress-20260912-211559/logs/baseline/04_py_presentation_telemetry_test.log,logs/baseline/summary.csv
4d,esp32-host-py,python3 rmt_recovery_test.py,PASS,tests_run=1; tests_failed=0; exit_code=0,docs/stress-20260912-211559/logs/baseline/04_py_rmt_recovery_test.log,logs/baseline/summary.csv
4e,esp32-host-py,python3 serial_network_scheduling_test.py,PASS,tests_run=1; tests_failed=0; exit_code=0,docs/stress-20260912-211559/logs/baseline/04_py_serial_network_scheduling_test.log,logs/baseline/summary.csv
BASE-5,pico-protocol,tools/protocol_selftest.py,NOT_RUN,tests_run=0; tests_failed=0,docs/stress-20260912-211559/logs/baseline/05_protocol_selftest.log,logs/baseline/summary.csv
BASE-6,esp32-fw-build,pio run -e esp32s3-rmt-dma,PASS,exit_code=0,docs/stress-20260912-211559/logs/baseline/06_pio_build.log,logs/baseline/summary.csv
HW-UI-RECONNECT-15,real iPhone+board BLE,15 in-app disconnect→reconnect via Settings › Connection (Device Hub taps; waits 3/5 s then 1.2/4.5 s),PASS,cycles=15/15; latency=board disconnect→tx_subscribed 2.40-2.49 s incl. 1.2 s fixed wait (first cycles 4.3-18 s with longer waits); anomalies=none,metrics/device/ui_cycles_cycles.csv; logs/device/serial_realhw.log,metrics/device/connection.csv
HW-RELAUNCH-100,real iPhone+board BLE,100x SIGKILL + relaunch (devicectl) dwell {0;0.2;0.5;1;2;3} s seed 20260912 deadline 15 s,PASS,cycles=100/100; latency=launch→connect p50 0.62 s p99 1.05 s; launch→notify subscribed p50 0.93 s max 1.04 s; kill→board disconnect p50 0.11 s; anomalies=none,metrics/device/relaunch_cycles.csv; logs/device/relaunch_loop.log,metrics/device/connection.csv
HW-TAB-SWITCH-20,real iPhone+board BLE,20 tab switches at 0.3 s (Device Hub),PASS,cycles=20; latency=n/a; anomalies=none (no crash; board unaffected),session screenshots,metrics/device/connection.csv
