disconnect_ms,resubscribed_ms,gap_ms,disconnect_reason
2917477,2935477,18000,531
2958457,2963313,4856,531
2966854,2971147,4293,531
2975257,2980237,4980,531
2983657,2988487,4830,531
2991997,2996287,4290,531
3026798,3029287,2489,531
3032828,3035287,2459,531
3038888,3041287,2399,531
3044978,3047407,2429,531
3051008,3053437,2429,531
3057218,3059677,2459,531
3063248,3065707,2459,531
3069308,3071708,2400,531
3075368,3077768,2400,531
3081429,3083888,2459,531
3142629,3244148,101519,531
3246039,3250868,4829,531
3252699,3255638,2939,531
3257499,3260018,2519,531
3261759,3263618,1859,531
3265449,3267458,2009,531
3269289,3273098,3809,531
3274989,3279879,4890,531
3281890,3285699,3809,531
3287590,3292539,4949,531
3294399,3298269,3870,531
3300100,3302979,2879,531
3304780,3306669,1889,531
3308470,3310719,2249,531
3312580,3317409,4829,531
3319240,3321129,1889,531
3322900,3325719,2819,531
3327610,3330549,2939,531
3332350,3336249,3899,531
3338860,3343870,5010,531
3345851,3349779,3928,531
3351731,3353859,2128,531
3355780,3360669,4889,531
3362560,3366459,3899,531
3368380,3370210,1830,531
3372041,3374500,2459,531
3376361,3381310,4949,531
3383291,3387250,3959,531
3389171,3392140,2969,531
3394031,3395920,1889,531
3397871,3400750,2879,531
3402671,3406780,4109,531
3408761,3410650,1889,531
3412631,3415720,3089,531
3417641,3420430,2789,531
3422261,3424300,2039,531
3426191,3428260,2069,531
3430121,3432191,2070,531
3434112,3436301,2189,531
3438222,3442121,3899,531
3444072,3446171,2099,531
3448092,3450071,1979,531
3451932,3454061,2129,531
3455952,3458441,2489,531
3460272,3462551,2279,531
3464412,3469271,4859,531
3471192,3473561,2369,531
3475482,3480341,4859,531
3482202,3484241,2039,531
3486102,3488081,1979,531
3489972,3492311,2339,531
3494292,3499242,4950,531
3501102,3503351,2249,531
3505542,3509591,4049,531
3511663,3514721,3058,531
3516553,3518562,2009,531
3520512,3522882,2370,531
3524833,3527202,2369,531
3529003,3530952,1949,531
3532813,3534762,1949,531
3536563,3539022,2459,531
3541003,3545862,4859,531
3547723,3552732,5009,531
3554563,3556602,2039,531
3558463,3561643,3180,531
3563594,3566623,3029,531
3568484,3570313,1829,531
3572294,3574543,2249,531
3576434,3578713,2279,531
3580633,3583273,2640,531
3585193,3589243,4050,531
3591224,3593323,2099,531
3595184,3597343,2159,531
3599414,3604483,5069,531
3606674,3609793,3119,531
3611954,3614983,3029,531
3617084,3618973,1889,531
3620954,3622873,1919,531
3624854,3627283,2429,531
3629114,3631333,2219,531
3633224,3635653,2429,531
3637575,3639643,2068,531
3641624,3643753,2129,531
3645674,3647983,2309,531
3649844,3652844,3000,531
3654674,3658633,3959,531
3660554,3662473,1919,531
3664484,3669493,5009,531
3671474,3676903,5429,531
3678854,3680593,1739,531
3682454,3686443,3989,531
3688334,3692354,4020,531
3694274,3698774,4500,531
3701295,3703664,2369,531
3705885,3709904,4019,531
3712065,3716024,3959,531
3718035,3720374,2339,531
3722355,3724214,1859,531
3726224,3728234,2010,531
3730094,3735044,4950,531
