idx,accepted,queued,lit,refreshUs,refreshMaxUs,refreshFail,heapFree,largestBlock,playback,mode
0,609,0,32,11038,11099,0,90852,8126452,idle,manual
1,635,0,34,11035,11099,0,90740,8126452,idle,manual
2,663,0,24,11037,11099,0,90852,8126452,idle,manual
3,698,0,34,11033,11099,0,90852,8126452,idle,manual
4,741,0,24,11035,11099,0,90852,8126452,idle,manual
5,769,0,24,11035,11099,0,90592,8126452,idle,manual
6,777,0,24,11035,11099,0,90852,8126452,idle,manual
7,784,0,24,11038,11099,0,90852,8126452,idle,manual
8,815,0,34,11041,11099,0,90852,8126452,idle,manual
9,840,0,33,11038,11099,0,90852,8126452,idle,manual
10,840,0,33,11038,11099,0,90852,8126452,idle,manual
11,840,0,33,11038,11099,0,90852,8126452,idle,manual
12,840,0,33,11038,11099,0,90852,8126452,idle,manual
13,840,0,33,11038,11099,0,90852,8126452,idle,manual
14,840,0,33,11038,11099,0,90852,8126452,idle,manual
15,840,0,33,11038,11099,0,90776,8126452,idle,manual
16,840,0,33,11038,11099,0,90852,8126452,idle,manual
17,840,0,33,11038,11099,0,90852,8126452,idle,manual
18,840,0,33,11038,11099,0,90852,8126452,idle,manual
19,840,0,33,11038,11099,0,90852,8126452,idle,manual
20,840,0,33,11038,11099,0,90852,8126452,idle,manual
21,840,0,33,11038,11099,0,90812,8126452,idle,manual
22,840,0,33,11038,11099,0,90852,8126452,idle,manual
23,840,0,33,11038,11099,0,90852,8126452,idle,manual
24,840,0,33,11038,11099,0,90852,8126452,idle,manual
25,840,0,33,11038,11099,0,90792,8126452,idle,manual
26,840,0,33,11038,11099,0,90852,8126452,idle,manual
27,840,0,33,11038,11099,0,90852,8126452,idle,manual
28,840,0,33,11038,11099,0,90852,8126452,idle,manual
29,840,0,33,11038,11099,0,90852,8126452,idle,manual
30,840,0,33,11038,11099,0,90852,8126452,idle,manual
31,840,0,33,11038,11099,0,90776,8126452,idle,manual
32,840,0,33,11038,11099,0,90852,8126452,idle,manual
33,840,0,33,11038,11099,0,90852,8126452,idle,manual
34,840,0,33,11038,11099,0,90852,8126452,idle,manual
35,840,0,33,11038,11099,0,90852,8126452,idle,manual
36,840,0,33,11038,11099,0,90852,8126452,idle,manual
37,840,0,33,11038,11099,0,90852,8126452,idle,manual
38,840,0,33,11038,11099,0,90852,8126452,idle,manual
39,840,0,33,11038,11099,0,90852,8126452,idle,manual
40,840,0,33,11038,11099,0,90852,8126452,idle,manual
41,840,0,33,11038,11099,0,90852,8126452,idle,manual
42,840,0,33,11038,11099,0,90852,8126452,idle,manual
43,840,0,33,11038,11099,0,90852,8126452,idle,manual
44,840,0,33,11038,11099,0,90852,8126452,idle,manual
45,840,0,33,11038,11099,0,90852,8126452,idle,manual
46,840,0,33,11038,11099,0,90852,8126452,idle,manual
47,840,0,33,11038,11099,0,90828,8126452,idle,manual
48,840,0,33,11038,11099,0,90808,8126452,idle,manual
49,840,0,33,11038,11099,0,90852,8126452,idle,manual
50,840,0,33,11038,11099,0,90852,8126452,idle,manual
51,840,0,33,11038,11099,0,90852,8126452,idle,manual
52,840,0,33,11038,11099,0,90852,8126452,idle,manual
53,840,0,33,11038,11099,0,90852,8126452,idle,manual
54,840,0,33,11038,11099,0,90852,8126452,idle,manual
55,840,0,33,11038,11099,0,90852,8126452,idle,manual
56,840,0,33,11038,11099,0,90852,8126452,idle,manual
57,840,0,33,11038,11099,0,89032,8126452,idle,manual
58,840,0,33,11038,11099,0,90852,8126452,idle,manual
59,840,0,33,11038,11099,0,90852,8126452,idle,manual
60,840,0,33,11038,11099,0,90852,8126452,idle,manual
61,840,0,33,11038,11099,0,89052,8126452,idle,manual
62,840,0,33,11038,11099,0,90852,8126452,idle,manual
63,840,0,33,11038,11099,0,90852,8126452,idle,manual
64,840,0,33,11038,11099,0,89228,8126452,idle,manual
65,840,0,33,11038,11099,0,90852,8126452,idle,manual
66,840,0,33,11038,11099,0,90852,8126452,idle,manual
67,840,0,33,11038,11099,0,90576,8126452,idle,manual
68,840,0,33,11038,11099,0,90828,8126452,idle,manual
69,840,0,33,11038,11099,0,90852,8126452,idle,manual
70,840,0,33,11038,11099,0,90056,8126452,idle,manual
71,840,0,33,11038,11099,0,90852,8126452,idle,manual
72,840,0,33,11038,11099,0,90852,8126452,idle,manual
73,840,0,33,11038,11099,0,90576,8126452,idle,manual
74,840,0,33,11038,11099,0,90852,8126452,idle,manual
75,840,0,33,11038,11099,0,90852,8126452,idle,manual
76,840,0,33,11038,11099,0,90852,8126452,idle,manual
77,840,0,33,11038,11099,0,90056,8126452,idle,manual
78,840,0,33,11038,11099,0,90852,8126452,idle,manual
79,840,0,33,11038,11099,0,90852,8126452,idle,manual
80,840,0,33,11038,11099,0,90852,8126452,idle,manual
81,840,0,33,11038,11099,0,90852,8126452,idle,manual
82,840,0,33,11038,11099,0,90852,8126452,idle,manual
83,840,0,33,11038,11099,0,90852,8126452,idle,manual
84,840,0,33,11038,11099,0,90852,8126452,idle,manual
85,840,0,33,11038,11099,0,90852,8126452,idle,manual
86,840,0,33,11038,11099,0,90852,8126452,idle,manual
87,840,0,33,11038,11099,0,90852,8126452,idle,manual
88,840,0,33,11038,11099,0,89052,8126452,idle,manual
89,840,0,33,11038,11099,0,90852,8126452,idle,manual
90,840,0,33,11038,11099,0,90516,8126452,idle,manual
91,840,0,33,11038,11099,0,90852,8126452,idle,manual
92,840,0,33,11038,11099,0,90852,8126452,idle,manual
