t0_ms,t1_ms,dt_ms,idx0,idx1,count,advance,fps,excluded
4924620,4925620,1000,251,261,325,10,10.0,0
4925620,4926620,1000,261,271,325,10,10.0,0
4926620,4927620,1000,271,281,325,10,10.0,0
4927620,4928620,1000,281,291,325,10,10.0,0
4928620,4929620,1000,291,301,325,10,10.0,0
4929620,4930620,1000,301,311,325,10,10.0,0
4930620,4931620,1000,311,321,325,10,10.0,0
4931620,4932620,1000,321,6,325,10,10.0,0
4932620,4933620,1000,6,16,325,10,10.0,0
4933620,4934620,1000,16,26,325,10,10.0,0
4934620,4935620,1000,26,36,325,10,10.0,0
4935620,4936620,1000,36,46,325,10,10.0,0
4936620,4937620,1000,46,56,325,10,10.0,0
4937620,4938620,1000,56,66,325,10,10.0,0
4938620,4939620,1000,66,76,325,10,10.0,0
4939620,4940620,1000,76,86,325,10,10.0,0
4940620,4941620,1000,86,96,325,10,10.0,0
4941620,4942620,1000,96,106,325,10,10.0,0
4942620,4943620,1000,106,116,325,10,10.0,0
4943620,4944620,1000,116,126,325,10,10.0,0
4944620,4945620,1000,126,136,325,10,10.0,0
4945620,4946620,1000,136,146,325,10,10.0,0
4946620,4947620,1000,146,156,325,10,10.0,0
4947620,4948620,1000,156,166,325,10,10.0,0
4948620,4949620,1000,166,176,325,10,10.0,0
4949620,4950620,1000,176,186,325,10,10.0,0
4950620,4951620,1000,186,196,325,10,10.0,0
4951620,4952620,1000,196,206,325,10,10.0,0
4952620,4953620,1000,206,216,325,10,10.0,0
4953620,4954620,1000,216,226,325,10,10.0,0
4954620,4955620,1000,226,236,325,10,10.0,0
4955620,4956620,1000,236,246,325,10,10.0,0
4956620,4957620,1000,246,256,325,10,10.0,0
4957620,4958620,1000,256,266,325,10,10.0,0
4958620,4959620,1000,266,276,325,10,10.0,0
4959620,4961254,1634,276,286,325,10,6.12,1
4961254,4962424,1170,286,291,325,5,4.274,1
4962424,4963564,1140,291,296,325,5,4.386,1
4963564,4964734,1170,296,302,325,6,5.128,1
4964734,4965875,1141,302,307,325,5,4.382,1
4965875,4966875,1000,307,317,325,10,10.0,0
4966875,4995754,28879,317,0,325,8,0.277,1
4995754,4996754,1000,0,10,325,10,10.0,0
4996754,4997754,1000,10,20,325,10,10.0,0
4997754,4998754,1000,20,30,325,10,10.0,0
4998754,4999754,1000,30,40,325,10,10.0,0
4999754,5000754,1000,40,50,325,10,10.0,0
5000754,5001754,1000,50,60,325,10,10.0,0
5001754,5002754,1000,60,70,325,10,10.0,0
5002754,5003754,1000,70,80,325,10,10.0,0
5003754,5004754,1000,80,90,325,10,10.0,0
5004754,5005754,1000,90,100,325,10,10.0,0
5005754,5006754,1000,100,110,325,10,10.0,0
5006754,5007754,1000,110,120,325,10,10.0,0
