t_s,lit,queued,accepted,ledReady,refreshUs,refreshMaxUs,refreshFail,heapFree,largestBlock,vbat,battery_pct,charging
5.0,32,0,1238,1,11023,11099,0,90436,8126452,7.6,58,0
6.0,32,0,1238,1,11023,11099,0,90436,8126452,7.6,58,0
15.1,60,0,1338,1,11037,11099,0,90436,8126452,7.59,58,0
16.1,60,0,1338,1,11037,11099,0,90436,8126452,7.59,58,0
25.1,46,0,1439,1,11037,11099,0,90436,8126452,7.58,56,0
34.1,45,0,1539,1,11064,11099,0,90436,8126452,7.57,56,0
35.1,45,0,1539,1,11064,11099,0,90436,8126452,7.57,56,0
36.1,45,0,1539,1,11064,11099,0,90436,8126452,7.57,56,0
44.2,20,0,1604,1,11027,11099,0,90436,8126452,7.58,56,0
45.2,20,0,1604,1,11027,11099,0,90436,8126452,7.58,56,0
54.2,0,0,1618,1,11022,11099,0,90436,8126452,7.58,56,0
55.2,0,0,1618,1,11022,11099,0,90436,8126452,7.58,56,0
56.2,0,0,1618,1,11022,11099,0,90436,8126452,7.58,56,0
64.2,0,0,1618,1,11022,11099,0,90436,8126452,7.59,56,0
65.3,0,0,1618,1,11022,11099,0,90436,8126452,7.59,56,0
66.3,0,0,1618,1,11022,11099,0,90436,8126452,7.59,56,0
74.3,55,0,1647,1,11045,11099,0,90436,8126452,7.59,56,0
75.3,55,0,1647,1,11045,11099,0,90436,8126452,7.59,56,0
84.3,51,0,1748,1,11035,11099,0,90436,8126452,7.58,56,0
85.3,51,0,1748,1,11035,11099,0,90436,8126452,7.58,56,0
95.4,71,0,1849,1,11019,11099,0,89620,8126452,7.57,56,0
104.4,20,0,1949,1,11023,11099,0,90436,8126452,7.57,56,0
105.4,20,0,1949,1,11023,11099,0,90436,8126452,7.57,56,0
106.4,20,0,1949,1,11023,11099,0,90436,8126452,7.57,56,0
114.4,49,0,2049,1,11019,11099,0,90436,8126452,7.57,56,0
115.4,49,0,2049,1,11019,11099,0,90436,8126452,7.57,56,0
116.4,49,0,2049,1,11019,11099,0,90436,8126452,7.57,56,0
125.5,68,0,2150,1,11039,11099,0,90436,8126452,7.57,56,0
126.5,68,0,2150,1,11039,11099,0,90436,8126452,7.56,56,0
135.5,10,0,2250,1,11035,11099,0,90436,8126452,7.57,56,0
136.5,10,0,2250,1,11035,11099,0,90436,8126452,7.57,56,0
145.5,44,0,2350,1,11039,11099,0,90436,8126452,7.56,56,0
146.5,44,0,2350,1,11039,11099,0,90436,8126452,7.56,56,0
154.6,54,0,2451,1,11043,11099,0,90436,8126452,7.56,56,0
155.6,54,0,2451,1,11043,11099,0,90436,8126452,7.56,56,0
156.6,54,0,2451,1,11043,11099,0,90436,8126452,7.56,56,0
164.6,35,0,2551,1,11039,11099,0,90436,8126452,7.56,54,0
165.6,35,0,2551,1,11039,11099,0,90436,8126452,7.56,54,0
166.6,35,0,2551,1,11039,11099,0,90436,8126452,7.56,54,0
174.6,62,0,2651,1,11037,11099,0,90436,8126452,7.56,54,0
175.6,62,0,2651,1,11037,11099,0,90436,8126452,7.56,54,0
176.6,62,0,2651,1,11037,11099,0,90436,8126452,7.56,54,0
184.7,41,0,2752,1,11020,11099,0,90436,8126452,7.56,54,0
185.7,41,0,2752,1,11020,11099,0,90436,8126452,7.56,54,0
186.7,41,0,2752,1,11020,11099,0,90436,8126452,7.56,54,0
194.7,44,0,2852,1,11021,11099,0,90436,8126452,7.55,54,0
195.7,44,0,2852,1,11021,11099,0,90436,8126452,7.55,54,0
196.7,44,0,2852,1,11021,11099,0,90436,8126452,7.55,54,0
204.8,55,0,2952,1,11032,11099,0,90436,8126452,7.56,54,0
205.8,55,0,2952,1,11032,11099,0,90436,8126452,7.56,54,0
206.8,55,0,2952,1,11032,11099,0,90436,8126452,7.56,54,0
214.8,42,0,3052,1,11032,11099,0,90436,8126452,7.56,54,0
215.8,42,0,3052,1,11032,11099,0,90436,8126452,7.56,54,0
216.8,42,0,3052,1,11032,11099,0,90436,8126452,7.56,54,0
224.8,68,0,3152,1,11034,11099,0,90436,8126452,7.55,54,0
225.8,68,0,3152,1,11034,11099,0,90436,8126452,7.55,54,0
226.8,68,0,3152,1,11034,11099,0,90436,8126452,7.55,54,0
234.9,31,0,3252,1,11021,11099,0,90436,8126452,7.56,54,0
235.9,31,0,3252,1,11021,11099,0,90436,8126452,7.56,54,0
236.9,31,0,3252,1,11021,11099,0,90436,8126452,7.56,54,0
244.9,48,0,3353,1,11043,11099,0,90436,8126452,7.55,54,0
245.9,48,0,3353,1,11043,11099,0,90436,8126452,7.55,54,0
246.9,48,0,3353,1,11043,11099,0,90436,8126452,7.55,54,0
254.9,65,0,3453,1,11019,11099,0,90436,8126452,7.55,54,0
255.9,65,0,3453,1,11019,11099,0,90436,8126452,7.55,54,0
265.0,6,0,3554,1,11037,11099,0,89620,8126452,7.55,54,0
266.0,6,0,3554,1,11037,11099,0,89620,8126452,7.55,54,0
267.0,6,0,3554,1,11037,11099,0,89620,8126452,7.55,54,0
275.0,35,0,3655,1,11033,11099,0,90436,8126452,7.55,54,0
276.0,35,0,3655,1,11033,11099,0,90436,8126452,7.55,54,0
277.0,35,0,3655,1,11033,11099,0,90436,8126452,7.55,54,0
285.0,56,0,3755,1,11022,11099,0,90436,8126452,7.55,54,0
286.0,56,0,3755,1,11022,11099,0,90436,8126452,7.55,54,0
287.0,56,0,3755,1,11022,11099,0,90436,8126452,7.55,54,0
296.1,34,0,3856,1,11020,11099,0,90436,8126452,7.55,54,0
297.1,34,0,3856,1,11020,11099,0,90436,8126452,7.55,54,0
306.1,58,0,3956,1,11037,11099,0,90436,8126452,7.55,54,0
