idx,accepted,queued,lit,refreshUs,refreshMaxUs,refreshFail,heapFree,largestBlock,playback,mode
0,609,0,32,11038,11099,0,90852,8126452,idle,manual
1,635,0,34,11035,11099,0,90740,8126452,idle,manual
2,663,0,24,11037,11099,0,90852,8126452,idle,manual
3,698,0,34,11033,11099,0,90852,8126452,idle,manual
4,741,0,24,11035,11099,0,90852,8126452,idle,manual
5,769,0,24,11035,11099,0,90592,8126452,idle,manual
6,777,0,24,11035,11099,0,90852,8126452,idle,manual
7,784,0,24,11038,11099,0,90852,8126452,idle,manual
8,815,0,34,11041,11099,0,90852,8126452,idle,manual
9,840,0,33,11038,11099,0,90852,8126452,idle,manual
10,840,0,33,11038,11099,0,90852,8126452,idle,manual
11,840,0,33,11038,11099,0,90852,8126452,idle,manual
12,840,0,33,11038,11099,0,90852,8126452,idle,manual
13,840,0,33,11038,11099,0,90852,8126452,idle,manual
14,840,0,33,11038,11099,0,90852,8126452,idle,manual
15,840,0,33,11038,11099,0,90776,8126452,idle,manual
16,840,0,33,11038,11099,0,90852,8126452,idle,manual
17,840,0,33,11038,11099,0,90852,8126452,idle,manual
18,840,0,33,11038,11099,0,90852,8126452,idle,manual
19,840,0,33,11038,11099,0,90852,8126452,idle,manual
20,840,0,33,11038,11099,0,90852,8126452,idle,manual
21,840,0,33,11038,11099,0,90812,8126452,idle,manual
22,840,0,33,11038,11099,0,90852,8126452,idle,manual
23,840,0,33,11038,11099,0,90852,8126452,idle,manual
24,840,0,33,11038,11099,0,90852,8126452,idle,manual
25,840,0,33,11038,11099,0,90792,8126452,idle,manual
26,840,0,33,11038,11099,0,90852,8126452,idle,manual
27,840,0,33,11038,11099,0,90852,8126452,idle,manual
28,840,0,33,11038,11099,0,90852,8126452,idle,manual
