case_id,layer,load,seed,status,metrics,evidence
F1-CONST,fw-parser,1,-,PASS,magic=0xA5 hdr=6 maxPayload=4096 inbound=4166 perPass=8,logs/firmware/f1_parser.log
F1-SPLIT-EVERY-OFFSET,fw-parser,1,-,PASS,offsets=107 failures=0,logs/firmware/f1_parser.log
F1-SPLIT-BYTE-BY-BYTE,fw-parser,1,-,PASS,bytes=106,logs/firmware/f1_parser.log
F1-GLUE-BUDGET,fw-parser,1,-,PASS,perPass=8/8/4/0,logs/firmware/f1_parser.log
F1-BADMAGIC-1000B-THEN-PING,fw-parser,1,-,PASS,replyType=134,logs/firmware/f1_parser.log
F1-MAGIC-LEN65535-HEADER-THEN-PING,fw-parser,1,-,PASS,replyType=134,logs/firmware/f1_parser.log
F1-LEN-0,fw-parser,1,-,PASS,reply=255 code=400 nextPing=134,logs/firmware/f1_parser.log
F1-LEN-4095,fw-parser,1,-,PASS,reply=255 code=400 nextPing=134,logs/firmware/f1_parser.log
F1-LEN-4096,fw-parser,1,-,PASS,reply=255 code=400 nextPing=134,logs/firmware/f1_parser.log
F1-LEN-4097-RESYNC,fw-parser,1,-,PASS,nextPingReply=134,logs/firmware/f1_parser.log
F1-LEN-4097-EXPLICIT-REJECT,fw-parser,1,-,FAIL,oversizeReplyType=0 (0=silently skipped; no ERR; no disconnect),logs/firmware/f1_parser.log
F1-LEN-65535-RESYNC,fw-parser,1,-,PASS,nextPingReply=134,logs/firmware/f1_parser.log
F1-LEN-65535-EXPLICIT-REJECT,fw-parser,1,-,FAIL,oversizeReplyType=0 (0=silently skipped; no ERR; no disconnect),logs/firmware/f1_parser.log
F1-TRUNC-THEN-VALID,fw-parser,1,-,FAIL,validPingAnswered=0 swallowedIntoTruncated=1 afterFill:seq30=1 seq31=0,logs/firmware/f1_parser.log
F1-OVERSIZE-PHANTOM-DISPATCH,fw-parser,1,-,FAIL,phantomReplyType=144 displayMarkerDec=90(injected=90) (payload bytes of a rejected frame re-parsed as SET_FRAME),logs/firmware/f1_parser.log
F1-UNKNOWN-TYPE,fw-parser,1,-,PASS,code=400,logs/firmware/f1_parser.log
F1-SETFRAME-PAYLOAD-46,fw-parser,1,-,PASS,replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log
F1-SETFRAME-PAYLOAD-47,fw-parser,1,-,PASS,replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log
F1-SETFRAME-PAYLOAD-48,fw-parser,1,-,PASS,replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log
F1-SETFRAME-PAYLOAD-49-VALID,fw-parser,1,-,PASS,replyType=144 expectAccept=1,logs/firmware/f1_parser.log
F1-SETFRAME-PAYLOAD-50-TRAILING,fw-parser,1,-,PASS,replyType=144 expectAccept=1,logs/firmware/f1_parser.log
F1-SETFRAME-FRAME46,fw-parser,1,-,PASS,replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log
F1-SETFRAME-FRAME48,fw-parser,1,-,PASS,replyType=144 expectAccept=1,logs/firmware/f1_parser.log
F1-SETFRAME-TAILBITS,fw-parser,1,-,PASS,replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log
F1-SETFRAME-REASONLEN-OVERRUN,fw-parser,1,-,PASS,replyType=255 expectAccept=0 code=400,logs/firmware/f1_parser.log
F1-BLE-OVERFLOW-RESYNC,fw-parser,1,-,PASS,err413=1 nextPing=134,logs/firmware/f1_parser.log
F1-FUZZ-POP,fw-parser,1000000,0x0000000000c0ffee,PASS,iters=1000000 frames=98828 mismatches=0 capOrStallViolations=0 secs=2.168287,logs/firmware/f1_parser.log
