cycle,seed,t_quit,t_launch,pid_before,pid_after,gap_s,per_board_json,reconnected_boards,reconnect_ms,verdict
1,20260913,1789282199.249,1789282200.807,1694,1696,1.29,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282201.89, ""port_issue"": 0}}",B,"{""B"": 1083}",PASS
2,20260913,1789282231.857,1789282235.846,1696,1698,3.71,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282236.863, ""port_issue"": 0}}",B,"{""B"": 1017}",PASS
3,20260913,1789282266.881,1789282268.736,1698,1700,1.57,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282269.695, ""port_issue"": 0}}",B,"{""B"": 959}",PASS
4,20260913,1789282299.786,1789282301.767,1700,1702,1.70,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282303.246, ""port_issue"": 0}}",B,"{""B"": 1479}",PASS
5,20260913,1789282332.858,1789282336.808,1702,1704,3.68,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282337.746, ""port_issue"": 0}}",B,"{""B"": 938}",PASS
6,20260913,1789282368.008,1789282371.644,1704,1708,3.37,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282372.671, ""port_issue"": 0}}",B,"{""B"": 1027}",PASS
7,20260913,1789282402.783,1789282405.148,1708,1711,2.12,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282406.239, ""port_issue"": 0}}",B,"{""B"": 1091}",PASS
8,20260913,1789282436.253,1789282438.788,1711,1713,2.26,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282439.806, ""port_issue"": 0}}",B,"{""B"": 1018}",PASS
9,20260913,1789282469.837,1789282471.268,1713,1715,1.15,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282472.169, ""port_issue"": 0}}",B,"{""B"": 901}",PASS
10,20260913,1789282502.330,1789282504.792,1715,1717,2.19,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282505.829, ""port_issue"": 0}}",B,"{""B"": 1037}",PASS
11,20260913,1789282535.850,1789282537.751,1717,1719,1.63,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282538.81, ""port_issue"": 0}}",B,"{""B"": 1059}",PASS
12,20260913,1789282568.827,1789282571.731,1719,1721,2.63,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282572.615, ""port_issue"": 0}}",B,"{""B"": 884}",PASS
13,20260913,1789282602.891,1789282604.570,1721,1723,1.40,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282605.372, ""port_issue"": 0}}",B,"{""B"": 802}",PASS
14,20260913,1789282635.585,1789282639.636,1723,1725,3.78,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282640.575, ""port_issue"": 0}}",B,"{""B"": 939}",PASS
15,20260913,1789282670.676,1789282674.016,1725,1727,3.08,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282674.982, ""port_issue"": 0}}",B,"{""B"": 966}",PASS
16,20260913,1789282705.018,1789282707.779,1727,1729,2.48,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282708.73, ""port_issue"": 0}}",B,"{""B"": 951}",PASS
17,20260913,1789282738.808,1789282740.500,1729,1731,1.42,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282741.498, ""port_issue"": 0}}",B,"{""B"": 998}",PASS
18,20260913,1789282771.506,1789282774.007,1731,1733,2.22,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282775.043, ""port_issue"": 0}}",B,"{""B"": 1036}",PASS
19,20260913,1789282804.990,1789282807.543,1733,1735,2.29,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282808.438, ""port_issue"": 0}}",B,"{""B"": 895}",PASS
20,20260913,1789282838.528,1789282841.904,1735,1737,3.13,"{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot"": 0, ""first_connect"": null, ""port_issue"": 0}, ""B"": {""disconnect"": 1, ""connect"": 1, ""subscribe"": 1, ""reboot"": 0, ""first_connect"": 1789282842.86, ""port_issue"": 0}}",B,"{""B"": 956}",PASS
