cycle,seed,method,reset_board,t_reset,connected_before_json,per_board_json,reboot_ms,reconnect_ms,pid_after,verdict
1,20260913,B2,B,1789282903.731,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 1, ""subscribe"": 1, ""reboot_ts"": 1789282904.453, ""first_connect_after_reboot"": 1789282906.904, ""port_gone"": 0}}",722,3173,1737,PASS
1,20260913,B2,A,1789282988.130,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": 1789282988.954, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}}",824,,1737,PASS
2,20260913,B2,A,1789283033.496,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": 1789283034.918, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}}",1422,,1737,PASS
3,20260913,B2,A,1789283078.889,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": 1789283080.374, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}}",1485,,1737,PASS
4,20260913,B2,B,1789283124.302,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 1, ""subscribe"": 1, ""reboot_ts"": 1789283125.79, ""first_connect_after_reboot"": 1789283127.648, ""port_gone"": 0}}",1488,3346,1737,PASS
5,20260913,B2,B,1789283169.662,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 1, ""subscribe"": 1, ""reboot_ts"": 1789283171.223, ""first_connect_after_reboot"": 1789283173.09, ""port_gone"": 0}}",1561,3428,1737,PASS
6,20260913,B2,B,1789283215.030,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 1, ""subscribe"": 1, ""reboot_ts"": 1789283216.417, ""first_connect_after_reboot"": 1789283218.262, ""port_gone"": 0}}",1387,3232,1737,PASS
7,20260913,B2,B,1789283260.400,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 1, ""subscribe"": 1, ""reboot_ts"": 1789283261.769, ""first_connect_after_reboot"": 1789283263.431, ""port_gone"": 0}}",1369,3031,1737,PASS
8,20260913,B2,A,1789283305.797,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": 1789283307.256, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}}",1459,,1737,PASS
9,20260913,B2,B,1789283351.174,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 1, ""subscribe"": 1, ""reboot_ts"": 1789283352.518, ""first_connect_after_reboot"": 1789283354.347, ""port_gone"": 0}}",1344,3173,1737,PASS
10,20260913,B2,B,1789283396.871,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 1, ""subscribe"": 1, ""reboot_ts"": 1789283398.226, ""first_connect_after_reboot"": 1789283400.07, ""port_gone"": 0}}",1355,3199,1737,PASS
11,20260913,B2,A,1789283442.227,"{""A"": false, ""B"": true}","{""A"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": 1789283443.62, ""first_connect_after_reboot"": null, ""port_gone"": 0}, ""B"": {""disconnect"": 0, ""connect"": 0, ""subscribe"": 0, ""reboot_ts"": null, ""first_connect_after_reboot"": null, ""port_gone"": 0}}",1393,,1737,PASS
